,orf,inchiKey
0,YOR317W,FBOZXECLQNJBKD-UHFFFAOYSA-N
1,YOR317W,FBOZXECLQNJBKD-UHFFFAOYSA-N
2,YOL021C,GHASVSINZRGABV-UHFFFAOYSA-N
3,YOL021C,GHASVSINZRGABV-UHFFFAOYSA-N
4,YDR404C,BWNPJEJDQASSEO-UHFFFAOYSA-M
5,YDR404C,BWNPJEJDQASSEO-UHFFFAOYSA-M
6,YPL079W,BWNPJEJDQASSEO-UHFFFAOYSA-M
7,YPL079W,BWNPJEJDQASSEO-UHFFFAOYSA-M
8,YDR075W,BWNPJEJDQASSEO-UHFFFAOYSA-M
9,YDR075W,BWNPJEJDQASSEO-UHFFFAOYSA-M
10,YPR119W,BWNPJEJDQASSEO-UHFFFAOYSA-M
11,YPR119W,BWNPJEJDQASSEO-UHFFFAOYSA-M
12,YDL066W,BWNPJEJDQASSEO-UHFFFAOYSA-M
13,YDL066W,BWNPJEJDQASSEO-UHFFFAOYSA-M
14,YOR039W,BWNPJEJDQASSEO-UHFFFAOYSA-M
15,YOR039W,BWNPJEJDQASSEO-UHFFFAOYSA-M
16,YER072W,BWNPJEJDQASSEO-UHFFFAOYSA-M
17,YER072W,BWNPJEJDQASSEO-UHFFFAOYSA-M
18,YMR121C,BWNPJEJDQASSEO-UHFFFAOYSA-M
19,YMR121C,BWNPJEJDQASSEO-UHFFFAOYSA-M
20,YBR195C,BWNPJEJDQASSEO-UHFFFAOYSA-M
21,YBR195C,BWNPJEJDQASSEO-UHFFFAOYSA-M
22,YGL087C,BWNPJEJDQASSEO-UHFFFAOYSA-M
23,YGL087C,BWNPJEJDQASSEO-UHFFFAOYSA-M
24,YMR073C,BWNPJEJDQASSEO-UHFFFAOYSA-M
25,YMR073C,BWNPJEJDQASSEO-UHFFFAOYSA-M
26,YBR003W,BWNPJEJDQASSEO-UHFFFAOYSA-M
27,YBR003W,BWNPJEJDQASSEO-UHFFFAOYSA-M
28,YGL019W,BWNPJEJDQASSEO-UHFFFAOYSA-M
29,YGL019W,BWNPJEJDQASSEO-UHFFFAOYSA-M
30,YCR034W,BWNPJEJDQASSEO-UHFFFAOYSA-M
31,YCR034W,BWNPJEJDQASSEO-UHFFFAOYSA-M
32,YCR094W,BWNPJEJDQASSEO-UHFFFAOYSA-M
33,YCR094W,BWNPJEJDQASSEO-UHFFFAOYSA-M
34,YNR007C,BWNPJEJDQASSEO-UHFFFAOYSA-M
