orf,Filter Name,omcl
YBR100W,OMCL in Yeast,
YOR072W,OMCL in Yeast,
YLR279W,OMCL in Yeast,
YLR322W,OMCL in Yeast,
YBR099C,OMCL in Yeast,
YOR345C,OMCL in Yeast,
YBR027C,OMCL in Yeast,
YDR230W,OMCL in Yeast,
YBR032W,OMCL in Yeast,
YML102C-A,OMCL in Yeast,
YAR047C,OMCL in Yeast,
YDR467C,OMCL in Yeast,
YPR197C,OMCL in Yeast,
YBL065W,OMCL in Yeast,
YJR128W,OMCL in Yeast,
YBR174C,OMCL in Yeast,
YGR182C,OMCL in Yeast,
YDR094W,OMCL in Yeast,
YIL171W,OMCL in Yeast,
YBR113W,OMCL in Yeast,
YPR090W,OMCL in Yeast,
YIL170W,OMCL in Yeast,
YCL007C,OMCL in Yeast,
YOL050C,OMCL in Yeast,
YML122C,OMCL in Yeast,
YJL182C,OMCL in Yeast,
YCR085W,OMCL in Yeast,
YJR023C,OMCL in Yeast,
YML048W-A,OMCL in Yeast,
YCR049C,OMCL in Yeast,
YCR025C,OMCL in Yeast,
YJL199C,OMCL in Yeast,
YMR031W-A,OMCL in Yeast,
YDR526C,OMCL in Yeast,
YHR039C-B,OMCL in Yeast,
YFL043C,OMCL in Yeast,
YCR087W,OMCL in Yeast,
YDR010C,OMCL in Yeast,
YNL028W,OMCL in Yeast,
YAR043C,OMCL in Yeast,
YLR294C,OMCL in Yeast,
YPL251W,OMCL in Yeast,
YAL043C-A,OMCL in Yeast,
YIL058W,OMCL in Yeast,
YAL045C,OMCL in Yeast,
YDL071C,OMCL in Yeast,
YCR006C,OMCL in Yeast,
YJL009W,OMCL in Yeast,
YLR296W,OMCL in Yeast,
YCL022C,OMCL in Yeast,
YML010C-B,OMCL in Yeast,
YDR290W,OMCL in Yeast,
YPL205C,OMCL in Yeast,
YMR316C-B,OMCL in Yeast,
YOR029W,OMCL in Yeast,
YGL199C,OMCL in Yeast,
YEL059W,OMCL in Yeast,
YKR073C,OMCL in Yeast,
YJL086C,OMCL in Yeast,
YOR055W,OMCL in Yeast,
YLR311C,OMCL in Yeast,
YOR379C,OMCL in Yeast,
YCL060C,OMCL in Yeast,
YDL094C,OMCL in Yeast,
YBR292C,OMCL in Yeast,
YNL235C,OMCL in Yeast,
YBR277C,OMCL in Yeast,
YGR290W,OMCL in Yeast,
YIL086C,OMCL in Yeast,
YLR282C,OMCL in Yeast,
YOR024W,OMCL in Yeast,
YDL187C,OMCL in Yeast,
YJL211C,OMCL in Yeast,
YJL206C-A,OMCL in Yeast,
YOR333C,OMCL in Yeast,
YML058C-A,OMCL in Yeast,
YHR139C-A,OMCL in Yeast,
YIL168W,OMCL in Yeast,
YEL045C,OMCL in Yeast,
YJR038C,OMCL in Yeast,
YPR053C,OMCL in Yeast,
YOR015W,OMCL in Yeast,
YLR428C,OMCL in Yeast,
YPR099C,OMCL in Yeast,
YBR051W,OMCL in Yeast,
YJL169W,OMCL in Yeast,
YDR271C,OMCL in Yeast,
YJL175W,OMCL in Yeast,
YFL035C-B,OMCL in Yeast,
YER097W,OMCL in Yeast,
YMR158W-A,OMCL in Yeast,
YDR413C,OMCL in Yeast,
YDL152W,OMCL in Yeast,
YBR300C,OMCL in Yeast,
YJL150W,OMCL in Yeast,
YDR274C,OMCL in Yeast,
YLR101C,OMCL in Yeast,
YBR124W,OMCL in Yeast,
YDR269C,OMCL in Yeast,
YLR374C,OMCL in Yeast,
YDL196W,OMCL in Yeast,
YDR250C,OMCL in Yeast,
YJL195C,OMCL in Yeast,
YPL261C,OMCL in Yeast,
YOR041C,OMCL in Yeast,
YDL034W,OMCL in Yeast,
YLR140W,OMCL in Yeast,
YJR018W,OMCL in Yeast,
YGR190C,OMCL in Yeast,
YDR355C,OMCL in Yeast,
YOR325W,OMCL in Yeast,
YGL024W,OMCL in Yeast,
YAL058C-A,OMCL in Yeast,
YFL015C,OMCL in Yeast,
YML089C,OMCL in Yeast,
YFL006W,OMCL in Yeast,
YLR041W,OMCL in Yeast,
YOR364W,OMCL in Yeast,
YPR123C,OMCL in Yeast,
YMR158C-B,OMCL in Yeast,
YDR396W,OMCL in Yeast,
YER188W,OMCL in Yeast,
YML035C-A,OMCL in Yeast,
YER119C-A,OMCL in Yeast,
YER066C-A,OMCL in Yeast,
YKR035C,OMCL in Yeast,
YPL114W,OMCL in Yeast,
YJL119C,OMCL in Yeast,
YDL151C,OMCL in Yeast,
YDR340W,OMCL in Yeast,
YOR331C,OMCL in Yeast,
YDR525W,OMCL in Yeast,
YKL083W,OMCL in Yeast,
YGR265W,OMCL in Yeast,
YMR173W-A,OMCL in Yeast,
YPL238C,OMCL in Yeast,
YOR050C,OMCL in Yeast,
YJL202C,OMCL in Yeast,
YML010W-A,OMCL in Yeast,
YPL182C,OMCL in Yeast,
YDL050C,OMCL in Yeast,
YOR102W,OMCL in Yeast,
YNR042W,OMCL in Yeast,
YOR203W,OMCL in Yeast,
YLL030C,OMCL in Yeast,
YGL046W,OMCL in Yeast,
YML084W,OMCL in Yeast,
YIR020W-B,OMCL in Yeast,
YFL032W,OMCL in Yeast,
YBR064W,OMCL in Yeast,
YJL215C,OMCL in Yeast,
YIL012W,OMCL in Yeast,
YCL006C,OMCL in Yeast,
YBR178W,OMCL in Yeast,
YDR344C,OMCL in Yeast,
YLR122C,OMCL in Yeast,
YLR280C,OMCL in Yeast,
YEL028W,OMCL in Yeast,
YMR193C-A,OMCL in Yeast,
YKR040C,OMCL in Yeast,
YLR169W,OMCL in Yeast,
YER087C-A,OMCL in Yeast,
YER046W-A,OMCL in Yeast,
YMR075C-A,OMCL in Yeast,
YPR136C,OMCL in Yeast,
YHR180W,OMCL in Yeast,
YAR037W,OMCL in Yeast,
YIL028W,OMCL in Yeast,
YLL047W,OMCL in Yeast,
YNL203C,OMCL in Yeast,
YDR521W,OMCL in Yeast,
YDR431W,OMCL in Yeast,
YPR064W,OMCL in Yeast,
YDR157W,OMCL in Yeast,
YJL120W,OMCL in Yeast,
YMR320W,OMCL in Yeast,
YGR219W,OMCL in Yeast,
YAR044W,OMCL in Yeast,
YOL134C,OMCL in Yeast,
YPL197C,OMCL in Yeast,
YOL037C,OMCL in Yeast,
YMR254C,OMCL in Yeast,
YMR153C-A,OMCL in Yeast,
YCL003W,OMCL in Yeast,
YBL096C,OMCL in Yeast,
YLL044W,OMCL in Yeast,
YPR050C,OMCL in Yeast,
YOR309C,OMCL in Yeast,
YLR317W,OMCL in Yeast,
YOL106W,OMCL in Yeast,
YLR458W,OMCL in Yeast,
YFR054C,OMCL in Yeast,
YDR360W,OMCL in Yeast,
YJL015C,OMCL in Yeast,
YNL296W,OMCL in Yeast,
YGL069C,OMCL in Yeast,
YGR272C,OMCL in Yeast,
YBR116C,OMCL in Yeast,
YFR024C,OMCL in Yeast,
YKL162C-A,OMCL in Yeast,
YBR209W,OMCL in Yeast,
YKL111C,OMCL in Yeast,
YGR176W,OMCL in Yeast,
YNR005C,OMCL in Yeast,
YOR314W,OMCL in Yeast,
YPL136W,OMCL in Yeast,
YCR013C,OMCL in Yeast,
YLL020C,OMCL in Yeast,
YKL066W,OMCL in Yeast,
YNL276C,OMCL in Yeast,
YOR366W,OMCL in Yeast,
YNL179C,OMCL in Yeast,
YDR053W,OMCL in Yeast,
YOR248W,OMCL in Yeast,
YLR171W,OMCL in Yeast,
YKL030W,OMCL in Yeast,
YDR048C,OMCL in Yeast,
YLR366W,OMCL in Yeast,
YLR112W,OMCL in Yeast,
YOL053C-A,OMCL in Yeast,
YLR123C,OMCL in Yeast,
YDL172C,OMCL in Yeast,
YLL016W,OMCL in Yeast,
YFL035C,OMCL in Yeast,
YMR082C,OMCL in Yeast,
YDL221W,OMCL in Yeast,
YIL015C-A,OMCL in Yeast,
YIL141W,OMCL in Yeast,
YLR217W,OMCL in Yeast,
YBR206W,OMCL in Yeast,
YFL063W,OMCL in Yeast,
YMR122C,OMCL in Yeast,
YNL089C,OMCL in Yeast,
YGR160W,OMCL in Yeast,
YMR172C-A,OMCL in Yeast,
YLR338W,OMCL in Yeast,
YIL167W,OMCL in Yeast,
YOR121C,OMCL in Yeast,
YJL017W,OMCL in Yeast,
YEL008W,OMCL in Yeast,
YBR232C,OMCL in Yeast,
YLR416C,OMCL in Yeast,
YKL177W,OMCL in Yeast,
YGL214W,OMCL in Yeast,
YOL166C,OMCL in Yeast,
YGR022C,OMCL in Yeast,
YOR088W,OMCL in Yeast,
YOR053W,OMCL in Yeast,
YDL096C,OMCL in Yeast,
YPL185W,OMCL in Yeast,
YOR376W,OMCL in Yeast,
YPR038W,OMCL in Yeast,
YLR111W,OMCL in Yeast,
YGR137W,OMCL in Yeast,
YGR269W,OMCL in Yeast,
YML013C-A,OMCL in Yeast,
YMR141C,OMCL in Yeast,
YPL044C,OMCL in Yeast,
YCR064C,OMCL in Yeast,
YJL022W,OMCL in Yeast,
YLR391W,OMCL in Yeast,
YIL100W,OMCL in Yeast,
YCL062W,OMCL in Yeast,
YBL071C,OMCL in Yeast,
YAR040C,OMCL in Yeast,
YDR537C,OMCL in Yeast,
YDR509W,OMCL in Yeast,
YIL025C,OMCL in Yeast,
YLR236C,OMCL in Yeast,
YOR235W,OMCL in Yeast,
YCL012W,OMCL in Yeast,
YCL041C,OMCL in Yeast,
YHR130C,OMCL in Yeast,
YMR306C-A,OMCL in Yeast,
YJL075C,OMCL in Yeast,
YAL004W,OMCL in Yeast,
YDR102C,OMCL in Yeast,
YOL085C,OMCL in Yeast,
YHR095W,OMCL in Yeast,
YLR255C,OMCL in Yeast,
YLR402W,OMCL in Yeast,
YCL076W,OMCL in Yeast,
YDL118W,OMCL in Yeast,
